question,answer
"What is damage system?","A damage system reduces health based on attacks."
"What is armor system?","Armor system reduces or absorbs incoming damage."
"What is critical hit?","A critical hit deals increased damage based on chance."
"What is damage multiplier?","A multiplier increases damage based on abilities or weak points."
"What is enemy spawner?","An enemy spawner generates enemies at intervals or locations."
"What is spawn point?","A point in the game where characters or objects appear."
"What is spawn rate?","Spawn rate determines how frequently enemies spawn."
"What is wave system?","A wave system spawns enemies in timed or increasing waves."
"What is level progression?","Level progression increases difficulty or unlocks new content."
"What is XP reward?","XP reward grants points for actions like kills or mission completion."
"What is leveling system?","A leveling system increases character power with XP."
"What is skill tree?","A skill tree offers unlockable abilities through progression."
"What is passive skill?","A passive skill provides a constant benefit without activation."
"What is active skill?","An active skill requires player input to activate."
"What is cooldown reduction?","Cooldown reduction shortens ability recharge times."
"What is buff?","A buff temporarily increases character stats."
"What is debuff?","A debuff temporarily weakens character stats."
"What is DOT damage?","DOT (Damage Over Time) deals damage gradually."
"What is AOE damage?","AOE (Area of Effect) damage affects multiple targets at once."
"What is hitbox vs hurtbox?","Hitbox checks for attacks; hurtbox checks for where the character is vulnerable."
"What is combo system?","A combo system chains multiple attacks in sequence."
"What is animation canceling?","Animation canceling interrupts animations to perform faster moves."
"What is stamina regeneration?","The process of restoring stamina over time."
"What is mana system?","Mana system stores energy used for magic or abilities."
"What is resource bar?","A visual UI representing health, stamina, mana, or energy."
"What is autosave?","Autosave saves game progress automatically at certain moments."
"What is manual save?","Manual save requires the player to choose when to save."
"What is local storage?","Local storage saves data on the player's device."
"What is cloud saving?","Cloud saving stores data online to sync across devices."
"What is matchmaking?","Matchmaking finds players of similar skill to join a game session."
"What is matchmaking rating?","Matchmaking rating determines skill level for online play."
"What is dedicated matchmaking server?","A dedicated server handles player matchmaking and session creation."
"What is hit registration?","Hit registration determines whether a hit is successfully detected."
"What is lag compensation?","Lag compensation adjusts gameplay for players with latency."
"What is ping?","Ping measures network delay between the player and server."
"What is latency?","Latency is the delay in data transmission over the network."
"What is packet loss?","Packet loss occurs when data packets fail to reach their destination."
"What is server tick rate?","Tick rate determines how often a server processes game updates."
"What is authoritative server?","An authoritative server controls game logic to prevent cheating."
"What is client-side prediction?","Client-side prediction estimates movements before server confirmation."
"What is rubber banding?","Rubber banding is sudden movement correction due to lag."
"What is interpolation?","Interpolation smooths movement between network updates."
"What is extrapolation?","Extrapolation predicts future positions when updates are missing."
"What is matchmaking lobby?","A lobby where players gather before a match starts."
"What is loot system?","A loot system rewards players with items after gameplay events."
"What is RNG?","RNG stands for Random Number Generation used for randomness in gameplay."
"What is loot table?","A loot table defines item drop chances."
"What is rarity system?","Rarity system classifies items by quality, such as common or legendary."
"What is crafting recipe?","A crafting recipe defines required items to craft a new item."
"What is blueprint item?","A blueprint teaches players how to craft an item."
"What is quest log?","A quest log tracks active, completed, and failed quests."
"What is NPC AI?","NPC AI controls non-player characters' behaviors and decision-making."
"What is dialogue trigger?","Dialogue triggers start conversations based on player actions."
"What is branching path?","A branching path gives players multiple story or gameplay choices."
"What is cutscene trigger?","Cutscene triggers start cinematic sequences during gameplay."
"What is quick-time event?","A QTE is an event requiring timed button presses."
"What is enemy aggro?","Aggro determines which enemy the AI targets during combat."
"What is threat level?","Threat level affects how enemies choose targets."
"What is spawn capping?","Spawn capping limits how many enemies can spawn at once."
"What is fog of war?","Fog of war hides unexplored areas on a map."
"What is minimap icon?","A minimap icon visually represents objects such as enemies or items."
"What is UI health indicator?","Displays enemy or player health above characters."
"What is respawn timer?","A countdown showing time until player respawn."
"What is revive mechanic?","Allows players to revive teammates during gameplay."
"What is camera smoothing?","Smooths camera movement for cinematic motion."
"What is camera shake intensity?","Defines strength of screen shake effects."
"What is depth sorting?","Depth sorting determines which 3D objects appear in front."
"What is collision mask?","Collision mask filters which layers interact in physics."
"What is damage falloff?","Damage falloff reduces damage over distance."
"What is explosion radius?","Defines affected area of blast damage."
"What is physics overlap check?","Detects objects within an area without collisions."
"What is game difficulty scaling?","Adjusts difficulty based on player performance."
"What is spawn randomization?","Randomizes enemy or item spawn patterns."
"What is procedural generation?","Generates levels or environments algorithmically."
"What is procedural map?","Creates maps using rules instead of manual design."
"What is seed value?","Seed value creates predictable randomness for procedural generation."
"What is noise generation?","Noise algorithms generate terrain height or textures."
"What is perlin noise?","Perlin noise creates smooth natural variations for terrain."
"What is simplex noise?","Simplex noise is a faster alternative to Perlin noise."
"What is terrain chunking?","Divides terrain into chunks for performance optimization."
"What is infinite runner generation?","Generates endless maps as the player progresses."
"What is L-system?","L-systems generate fractal-like patterns for plants or structures."
"What is dialogue branching tree?","A tree structure representing different dialogue paths."
"What is combat AI?","Combat AI controls enemy actions during battles."
"What is evade behavior?","Evade behavior makes AI avoid player attacks."
"What is AI decision-making?","AI decision-making determines actions using states or behavior trees."
"What is blackboard system?","A data structure shared by AI behaviors."
"What is reactive AI?","Reactive AI responds instantly to player actions rather than planning."
"What is strategic AI?","Strategic AI uses long-term planning and tactics."
"What is homing projectile?","A projectile that follows the target automatically."
"What is weapon recoil pattern?","A predefined pattern that controls weapon kickback."
"What is camera raycast?","Raycasting from the camera to detect interactable objects."
"What is aim assist?","Aim assist helps players target enemies more easily."

"What is aim blending?","Aim blending smoothly transitions between aiming poses."
"What is lean mechanic?","Leaning allows players to tilt left or right to peek around corners."
"What is cover detection?","Cover detection checks if an object can be used as protection."
"What is enemy flanking?","Enemy flanking is AI moving to attack from the side or behind."
"What is squad AI?","Squad AI coordinates multiple NPCs to act as a team."
"What is waypoint patrol?","AI patrols a set of predefined waypoints."
"What is battle arena spawning?","Spawn logic for enemies entering a closed combat area."
"What is wave difficulty scaling?","Increasing difficulty each enemy wave."
"What is enemy archetype?","Different enemy types with unique behaviors."
"What is boss phase?","A stage in boss fights where the boss changes behavior or abilities."
"What is hit pause?","A brief pause effect on impact for dramatic feedback."
"What is screen freeze?","Temporary freeze to emphasize action moments."
"What is coyote time?","Allowing player to jump shortly after leaving a ledge."
"What is jump buffering?","Queuing a jump input before landing to improve responsiveness."
"What is directional dodge?","Dodging in a direction input by the player."
"What is lock-on system?","A system that targets a specific enemy for combat."
"What is auto-targeting?","Automatically selecting the nearest target."
"What is camera lock behind player?","Locking camera rotation to follow the player directly."
"What is strafing?","Moving sideways while facing a target."
"What is glide mechanic?","Gliding slows falling and allows controlled descent."
"What is wall-running?","Running along walls for parkour movement."
"What is wall-jumping?","Jumping from wall surfaces to reach new areas."
"What is double jump?","Jumping a second time while in the air."
"What is climb detection?","Checking if a surface is climbable."
"What is ledge grabbing?","Player grabs a ledge when near the edge."
"What is vault mechanic?","Player climbs over small obstacles automatically."
"What is sliding mechanic?","Player slides on ground for speed or evasion."
"What is momentum-based movement?","Movement affected by velocity and inertia."
"What is footstep system?","System detecting surface type to play footstep sounds."
"What is dynamic weather?","Changing environmental conditions like rain or fog."
"What is day-night cycle?","Time system changing lighting throughout the day."
"What is wind zone?","A system for simulating wind forces."
"What is vegetation system?","System controlling grass, trees, and procedural foliage."
"What is dynamic shadows?","Shadows updating in real-time as objects move."
"What is light baking?","Saving static lighting data for performance."
"What is emissive lighting?","Objects that appear to glow by emitting light."
"What is bloom threshold?","Brightness level required to trigger bloom effect."
"What is color grading?","Adjusting scene colors for specific mood or style."
"What is lens flare?","Light streaks simulating camera lens artifacts."
"What is vignette?","Darkening screen edges for cinematic effect."
"What is depth buffer?","Buffer storing depth information for 3D rendering."
"What is render pipeline asset?","Asset defining settings for URP or HDRP."
"What is shader compilation?","Translation of shader code for GPU execution."
"What is shader variant?","Different shader versions with optional features."
"What is GPU compute?","Running custom calculations on GPU using compute shaders."
"What is baked occlusion?","Precomputed visibility data for static environments."
"What is physics culling?","Ignoring physics calculations for distant objects."
"What is collision proxy?","Simplified collider used for optimization."
"What is hit reaction system?","System controlling animations and effects when hit."
"What is ragdoll blending?","Mixing animation and ragdoll physics smoothly."
"What is wind simulation?","Simulating wind movement on trees or cloth."
"What is grass shader?","Shader used to animate grass movement."
"What is decal?","Projecting textures onto surfaces for bullet holes or dirt."
"What is decal projector?","Component that applies decals in URP/HDRP."
"What is gameplay tag?","Tagging system for identifying object behavior."
"What is event-driven AI?","AI reacting to triggers and events instead of constant checks."
"What is procedural animation?","Animation generated by code, not keyframes."
"What is foot IK?","IK adjusting feet to align with ground."
"What is climb IK?","IK used for hands and feet when climbing."
"What is aim IK?","IK enabling characters to aim weapons precisely."
"What is look-at constraint?","Constraint forcing character to look at a target."
"What is multi-aim constraint?","Advanced aiming solution for rigs."
"What is joint limit?","Constraint preventing bones from rotating unnaturally."
"What is angular velocity?","Rate of rotation measured per second."
"What is kinematic chain?","Linked bones forming skeleton structure."
"What is softbody physics?","Physics simulating deformable objects."
"What is cloth collider?","Collider interacting with cloth simulation."
"What is fluid simulation?","Realistic simulation of liquids."
"What is particle turbulence?","Random particle motion for realism."
"What is sub-emitter?","Particles spawned by other particles."
"What is trail renderer?","Component drawing a trail behind moving objects."
"What is line renderer?","Component drawing 3D or 2D lines."
"What is projectile trail?","Visual trail behind bullets or rockets."
"What is dissolving shader?","Shader effect making objects fade or disintegrate."
"What is outline shader?","Shader drawing colored outlines on objects."
"What is fog volume?","3D volume simulating thick fog."
"What is post-processing volume?","Defines area where post-processing effects apply."
"What is screen overlay?","Effect layered on top of final image."
"What is UI raycast?","Raycast detecting UI elements for input."
"What is canvas group?","Component controlling UI alpha, interactability, and blocksRaycasts."
"What is UI animation?","Animating UI elements for transitions."
"What is UI transition?","Smooth visual changes for buttons and panels."
"What is UI fade?","Changing UI transparency over time."
"What is nine-slice scaling?","Scaling UI images without distorting corners."
"What is joystick dead zone?","Minimum input threshold before joystick movement is detected."
"What is input buffering?","Saving input commands for execution when possible."
"What is gamepad mapping?","Mapping controller buttons to actions."
"What is aim assist magnetism?","Increasing target hit chance by adjusting aim."
"What is zoom FOV?","Narrower field of view for zooming in."
"What is camera collision?","Preventing camera from clipping through walls."
"What is camera obstruction fade?","Fading obstructing objects to maintain visibility."
"What is turret rotation?","Rotating a turret to aim at targets."
"What is homing missile?","Missile that adjusts path to follow a target."
"What is projectile lifetime?","Time before a projectile is destroyed."
"What is explosion force?","Physics force applied during an explosion."
"What is damage radius?","Area affected by an explosion."
"What is spawn animation?","Animation played when characters or objects appear."
"What is dissolve spawn?","A dissolve shader used when spawning objects."
"What is loot pickup system?","System allowing players to collect items."
"What is magnet pickup?","Automatically pulling items toward the player."
"What is floating text?","Text that appears above an object for damage or XP."
"What is HUD marker?","Icon pointing to objectives or enemies."
"What is waypoint marker?","UI element showing direction to a navigation point."

"What is objective marker?","A UI indicator showing the location of an objective."
"What is quest tracking?","Tracking active missions and their progress."
"What is dynamic objective system?","A system that updates objectives based on player actions."
"What is event trigger zone?","A zone that activates events when entered by the player."
"What is cutscene skip logic?","Code allowing players to skip cinematics."
"What is pause menu?","A UI menu that appears when the game is paused."
"What is game pause logic?","Stopping game time by setting Time.timeScale to 0."
"What is slow motion effect?","Reducing timeScale to create slow-motion gameplay."
"What is speed boost?","A temporary increase in movement or attack speed."
"What is time dilation?","Changing global game time speed."
"What is respawn cooldown?","Delay before the player or enemy respawns."
"What is revival state?","State when a character is waiting to be revived by a teammate."
"What is game timer?","A timer tracking time elapsed during gameplay."
"What is countdown timer?","A timer that counts down for missions or events."
"What is checkpoint activation?","Saving progress when reaching a checkpoint."
"What is auto-heal system?","Regenerating player health after avoiding damage for some time."
"What is damage indicator?","UI showing direction of incoming attacks."
"What is armor penetration?","Mechanic determining how much armor reduces damage."
"What is elemental damage?","Damage types such as fire, ice, lightning, or poison."
"What is elemental resistance?","Reducing damage taken from specific element types."
"What is crowd control effect?","Effects that restrict player or enemy actions."
"What is stun effect?","Temporarily preventing movement or actions."
"What is knockdown effect?","Falling to the ground due to strong impact."
"What is freeze effect?","Temporarily immobilizing a character completely."
"What is burn effect?","Damage over time caused by fire."
"What is poison effect?","Gradual health loss caused by poison."
"What is bleed effect?","Continuous HP loss over time from bleeding."
"What is root effect?","Prevents character movement but allows attacking."
"What is blind effect?","Reduces visibility or accuracy."
"What is silence effect?","Prevents using skills or abilities."
"What is disarm effect?","Prevents using weapons."
"What is taunt effect?","Forces enemies to target a specific character."
"What is shield system?","An additional layer of protection before health is damaged."
"What is hit resistance?","Reducing the impact of damage taken."
"What is stamina drain?","Stamina reduction caused by actions or effects."
"What is mana regeneration?","Restoring mana over time."
"What is energy system?","Resource used for abilities instead of mana."
"What is interaction prompt?","UI message telling players they can interact with an object."
"What is interactable object?","Object that players can activate or use."
"What is proximity interaction?","Interaction triggered when close to an object."
"What is context-sensitive button?","Buttons that perform different actions based on context."
"What is melee weapon?","A close-range weapon like a sword or axe."
"What is ranged weapon?","A weapon that attacks from distance using projectiles."
"What is weapon durability?","Mechanic where weapons wear down over time."
"What is weapon upgrade system?","Improving weapon stats through upgrades."
"What is crafting bench?","A station used for crafting items."
"What is item rarity color?","Colors representing rarity like Common, Rare, Epic, Legendary."
"What is procedural loot?","Items generated with random stats."
"What is enchantment system?","Adding magical effects to weapons or armor."
"What is vendor system?","NPCs selling and buying items."
"What is trading system?","Players exchanging items with each other."
"What is marketplace UI?","Interface for buying and selling items."
"What is economy balancing?","Adjusting prices and drop rates for fairness."
"What is game currency?","Money used to buy items or upgrades."
"What is premium currency?","Special currency often bought with real money."
"What is soft currency?","Currency gained by normal gameplay."
"What is consumable item?","Single-use items like potions."
"What is inventory weight system?","Limits carrying capacity based on weight."
"What is item stacking limit?","Maximum items that can be stacked in one slot."
"What is world interaction?","Player interacting with world elements like doors and levers."
"What is switch mechanism?","A mechanism activated to open doors or trigger events."
"What is pressure plate?","A floor trigger activated by stepping on it."
"What is destructible object?","Objects that can break under damage."
"What is breakable crate?","Common destructible object containing loot."
"What is door animation?","Animation controlling doors opening and closing."
"What is locked door system?","Requires keys or conditions to unlock."
"What is puzzle system?","Gameplay requiring logical thinking or actions to solve."
"What is lever puzzle?","Puzzle involving pulling levers in specific pattern."
"What is rotating puzzle?","Puzzle requiring rotating pieces to align images."
"What is physics puzzle?","Puzzle solved using physics, like moving objects."
"What is sliding block puzzle?","Puzzle involving pushing or sliding blocks."
"What is code lock puzzle?","Puzzle requiring code entry to unlock door."
"What is time-based puzzle?","Puzzle requiring fast response before time runs out."
"What is enemy puzzle mechanic?","Enemies acting as part of puzzle solutions."
"What is stealth takedown?","Silent elimination of enemies from behind."
"What is noise distraction?","Throwing objects or using tools to lure enemies."
"What is line-of-sight stealth?","Enemies detect players only if they see them."
"What is cover shadow stealth?","Stealth where shadows reduce visibility to enemies."
"What is security camera AI?","AI detection based on camera vision cones."
"What is laser detection?","Triggered when player crosses laser beams."
"What is alarm system?","Alerts enemies when detection conditions are met."
"What is guard patrol path?","Path used by guards for continuous patrolling."
"What is alert level?","State when enemies begin searching for the player."
"What is search state?","AI actively looks for the player after detection."
"What is chase state?","AI aggressively pursues the player."
"What is escape state?","AI returns to normal behavior after losing player."
"What is stealth meter?","UI showing how visible the player is."
"What is enemy awareness bar?","Bar showing enemy suspicion level."
"What is takedown animation?","Animation for silently eliminating enemies."
"What is hiding spot?","Place where players hide from enemy view."
"What is locker hiding system?","Player hides inside lockers for stealth gameplay."
"What is vent crawling?","Movement through ventilation tunnels."
"What is distraction tool?","Item used to divert enemy attention."
"What is stealth kill zone?","Area where stealth takedowns can be triggered."
"What is enemy investigation point?","Location AI checks when alerted."

"What is enemy cover behavior?","AI hides behind objects to avoid damage."
"What is AI retreat behavior?","AI retreats when low on health or overwhelmed."
"What is AI grouping behavior?","AI forms groups to attack together."
"What is AI ambush behavior?","AI hides and attacks players unexpectedly."
"What is AI guarding behavior?","AI stays near an object or area to protect it."
"What is AI overwatch behavior?","AI stays at a distance and provides covering fire."
"What is AI sniper role?","AI uses long-range precision attacks."
"What is AI melee role?","AI specializes in close-range physical attacks."
"What is AI tank role?","AI absorbs damage and protects other enemies."
"What is AI support role?","AI heals or buffs other allies."
"What is enemy spawn trigger?","Script that spawns enemies when player enters an area."
"What is area lock?","System that locks the player inside an arena until enemies are defeated."
"What is boss intro cutscene?","A cinematic introducing the main boss before fight begins."
"What is boss enraged mode?","A boss state where attacks become faster and stronger."
"What is boss telegraphing?","Boss showing signals before performing major attacks."
"What is projectile telegraph?","Warning indicator showing where enemy projectiles will land."
"What is arena hazard?","Dangerous environmental elements like spikes or lava."
"What is moving platform?","Platform that moves along predefined path."
"What is elevator system?","Platform that moves vertically between floors."
"What is rotating platform?","Platform that rotates for platforming challenges."
"What is platform parenting?","Player becomes child of platform to move together with it."
"What is platform snapping?","Automatically adjusting player position to platform surface."
"What is jump pad?","Object that launches players upward or forward."
"What is trampoline mechanic?","Bouncy surface propelling player with spring effect."
"What is wall slide?","Player sliding down wall when pressed against it."
"What is ladder climbing?","Mechanic for climbing ladder objects."
"What is rope swinging?","Swing mechanic using rope physics."
"What is grappling hook?","Tool allowing players to pull themselves toward a point."
"What is zipline mechanic?","Sliding along a line from one point to another."
"What is water buoyancy?","Objects floating based on volume and density."
"What is water drag?","Movement resistance inside water."
"What is underwater vision blur?","Post-processing effect simulating underwater visuals."
"What is swimming mechanic?","Movement system for swimming in water."
"What is drowning mechanic?","Timer indicating how long player can stay underwater."
"What is lava damage?","Instant or continuous damage when touching lava."
"What is hazard zone?","Area causing damage or effects when entered."
"What is spike trap?","Trap that damages player on contact."
"What is rotating trap?","Trap rotating to hit players periodically."
"What is pressure trap?","Trap activated when stepped on."
"What is fire trap?","Trap shooting fire bursts periodically."
"What is poison gas trap?","Trap releasing poison clouds."
"What is electric trap?","Trap shocking players causing stun or damage."
"What is AI trap awareness?","AI detecting traps and avoiding them."
"What is physics-based trap?","Trap relying on physics simulation to activate."
"What is safe zone?","Area where player cannot take damage."
"What is healing zone?","Area that restores player health."
"What is buff zone?","Area granting temporary power boosts."
"What is debuff zone?","Area applying negative effects."
"What is checkpoint indicator?","UI showing the last saved checkpoint."
"What is multi-stage mission?","Mission requiring completion of several objective phases."
"What is escort mission?","Player protects an NPC until reaching destination."
"What is timed mission?","Mission requiring completion before time runs out."
"What is stealth mission?","Mission requiring avoiding detection."
"What is collection mission?","Mission involving collecting items around the map."
"What is delivery mission?","Mission requiring transporting items safely."
"What is defense mission?","Mission requiring defending an area or object."
"What is survival mission?","Mission where player survives waves of enemies."
"What is fetch quest?","Quest involving retrieving a specific item."
"What is boss rush mode?","Mode where player fights multiple bosses consecutively."
"What is sandbox mode?","Open mode with no strict goals or missions."
"What is procedurally generated level?","Level created using algorithms instead of manual design."
"What is tile-based generation?","Level generation based on grid tiles."
"What is dungeon generation?","Procedural layout for caves or dungeons."
"What is biome system?","Different environment types like desert or forest."
"What is world seed?","Value generating the same world layout."
"What is terrain blending?","Smooth transition between terrain types."
"What is path smoothing?","Improving procedural paths to avoid sharp edges."
"What is object placement rule?","Rules determining how objects spawn procedurally."
"What is noise map?","2D map created using noise functions for terrain height."
"What is heat map?","Map showing temperature zones for procedural ecosystems."
"What is resource node?","Location where players can gather resources like ore or wood."
"What is harvesting mechanic?","Collecting resources from nodes."
"What is crafting tier system?","Tier-based progression for crafting recipes."
"What is item upgrade system?","Improving stats of existing items."
"What is durability repair?","Mechanic allowing players to fix damaged equipment."
"What is forge station?","Station used to craft weapons or armor."
"What is alchemy system?","Crafting potions or magical items."
"What is skill crafting?","Creating abilities by combining elements or materials."
"What is blueprint unlock?","Unlocking new crafting recipes through progression."
"What is AI companion?","AI-controlled ally assisting the player."
"What is follower system?","System where NPCs follow players around."
"What is pet system?","Animals that follow the player with minor gameplay benefits."
"What is summon mechanic?","Summoning creatures to fight for the player."
"What is AI loyalty system?","NPC loyalty affecting behavior based on actions."
"What is dialogue trust system?","System where dialogue choices affect NPC trust."
"What is cinematic camera?","Camera movement designed for storytelling moments."
"What is camera blend?","Smooth transition between multiple virtual cameras."
"What is interactive cutscene?","Cutscene reacting to player decisions."
"What is mounted combat?","Combat while riding animals or vehicles."
"What is vehicle control system?","Logic controlling cars, planes, or boats."
"What is driving physics?","Simulation of vehicle movement and traction."
"What is drift mechanic?","Sliding vehicle with reduced tire friction."
"What is vehicle health?","System tracking vehicle durability."
"What is vehicle boosting?","Temporary speed boost for vehicles."
"What is vehicle armor?","Reduces damage taken by vehicles."

"What is vehicle fuel system?","A system that tracks and consumes fuel for vehicles."
"What is vehicle tire friction?","Amount of grip tires have on surfaces."
"What is off-road mechanic?","Vehicle behavior on rough terrain with reduced traction."
"What is jump ramp?","A ramp that launches vehicles into the air."
"What is vehicle suspension?","System absorbing shocks and maintaining stability."
"What is wheel collider?","Unity component simulating vehicle wheel physics."
"What is traction control?","System preventing wheels from losing grip."
"What is vehicle torque?","Rotational force applied to wheels for acceleration."
"What is aerodynamic drag?","Air resistance slowing vehicles at high speeds."
"What is downforce?","Force pressing vehicle down to increase traction."
"What is nitro boost?","Temporary speed boost using special fuel."
"What is gear shifting?","Changing gears to adjust speed and torque."
"What is manual transmission?","Player manually switches gears."
"What is automatic transmission?","System automatically handles gear changes."
"What is drifting system?","Mechanic enabling controlled sliding during turns."
"What is skid marks?","Visual trails left by sliding tires."
"What is vehicle camera follow?","Camera system following vehicle movement."
"What is cockpit view?","First-person camera inside vehicle interior."
"What is chase camera?","Camera following vehicle from behind."
"What is traffic AI?","AI controlling NPC vehicles in open world."
"What is waypoint driving AI?","AI driving vehicles along path points."
"What is lane detection?","System ensuring vehicles stay in correct lanes."
"What is collision avoidance?","AI technique for avoiding crashes."
"What is vehicle respawn?","Respawning vehicle if stuck or destroyed."
"What is vehicle armor plating?","Added protection against damage."
"What is destructible vehicle parts?","Vehicle parts that can break during collisions."
"What is tire burst mechanic?","Tires popping after damage or overheating."
"What is vehicle overheating?","Engine overheating requiring cooldown."
"What is water vehicle?","Vehicles designed to travel on water."
"What is boat wake effect?","Water trail behind moving boats."
"What is buoyancy system?","Physics making boats float realistically."
"What is airplane lift?","Force enabling aircraft to fly."
"What is pitch control?","Controls aircraft nose angle."
"What is yaw control?","Controls aircraft left-right rotation."
"What is roll control?","Controls tilt of aircraft wings."
"What is stall mechanic?","Loss of lift causing plane to descend."
"What is flight HUD?","UI showing aircraft speed, altitude, and heading."
"What is helicopter rotor physics?","Simulation of spinning helicopter blades."
"What is tether system?","Connecting two objects with a flexible rope or chain."
"What is grappling rope?","Rope used to attach player to structures and swing."
"What is towing mechanic?","Pulling or hauling objects with a vehicle."
"What is cargo system?","Mechanic for carrying items using vehicles."
"What is physics joint?","A constraint connecting two rigid bodies."
"What is configurable joint?","Advanced joint offering multiple degree-of-freedom settings."
"What is physics explosion?","Explosion applying force and damage in radius."
"What is shatter effect?","Breaking objects into fragments using physics."
"What is debris system?","Spawning object fragments after destruction."
"What is procedural destruction?","Generating destruction based on impact force."
"What is fracture mesh?","Mesh designed to break into pieces."
"What is sound occlusion?","Muffling sounds when blocked by objects."
"What is reverb volume?","Area applying echo effects based on environment."
"What is dynamic music system?","Music that changes based on gameplay events."
"What is combat music trigger?","System switching to intense music during battles."
"What is ambient sound?","Background audio like wind, birds, or machinery."
"What is footstep sound manager?","System selecting sounds based on surface type."
"What is audio priority?","Defines which sounds play when too many are active."
"What is audio pooling?","Reusing audio sources to prevent performance issues."
"What is volume attenuation?","Reducing sound volume based on distance."
"What is spatial blend?","Controls how 3D or 2D a sound behaves."
"What is reverb preset?","Predefined echo profile for environments."
"What is doppler pitch shift?","Pitch change caused by moving objects."
"What is cutscene audio sync?","Synchronizing audio with cinematic actions."
"What is loading screen tip?","Display hints while loading scenes."
"What is async scene loading?","Loading scenes without freezing gameplay."
"What is loading bar?","UI showing progress of loading operations."
"What is fade-in transition?","Screen gradually becoming visible."
"What is fade-out transition?","Screen gradually darkening to black."
"What is screen wipe transition?","Animated transition revealing the next scene."
"What is checkpoint autosave?","Automatically saving progress when hitting a checkpoint."
"What is save slot?","Separate game save files for different playthroughs."
"What is save encryption?","Protecting save data with encryption."
"What is leaderboard system?","Ranking players based on scores."
"What is daily reward system?","Rewarding players for logging in daily."
"What is battle pass system?","Progression system granting rewards through tiers."
"What is season progression?","Limited-time progression events in online games."
"What is matchmaking region?","Selecting server region for lower ping."
"What is ping compensation?","Adjusting gameplay to account for high latency."
"What is anti-cheat system?","System detecting and preventing cheating."
"What is cheat detection?","Identifying abnormal behaviors like speed hacks."
"What is lag switch detection?","Detecting artificial network delays."
"What is aim-bot detection?","System analyzing suspicious accuracy patterns."
"What is wallhack prevention?","System blocking visibility through walls."
"What is server authoritative movement?","Server validates all player movements."
"What is client reconciliation?","Correcting client prediction errors."
"What is network interpolation?","Smoothing remote player movement based on updates."
"What is network extrapolation?","Predicting remote movement when updates are missing."
"What is replication system?","Synchronizing data from server to clients."
"What is RPC call?","Remote Procedure Call executed across network devices."
"What is packet serialization?","Converting data into packets for network transmission."
"What is network compression?","Reducing size of network packets."
"What is bandwidth optimization?","Reducing data sent to improve online performance."
"What is object despawn logic?","Removing objects when no longer needed."
"What is server garbage collection?","Managing server memory by removing unused data."
"What is network tick system?","Interval at which game logic updates in networking."
"What is matchmaking queue?","Line of players waiting to join a game."
"What is network host migration?","Moving host authority to another player if host leaves."
"What is lobby ready check?","Players confirm readiness before starting."
"What is pre-game countdown?","Countdown before gameplay begins."
"What is post-game summary?","Screen showing results after match ends."
"What is spectator mode?","Allows players to watch gameplay after elimination."
"What is killcam replay?","Replay showing how a player was eliminated."
"What is cinematic replay system?","Replay system with camera controls."

"What is kill feed?","UI showing recent kills or actions during gameplay."
"What is hitmarker?","Visual indicator showing that a shot successfully hit a target."
"What is damage popup?","Floating text showing the amount of damage dealt."
"What is revive prompt?","UI prompt allowing players to revive allies."
"What is bomb planting mechanic?","System enabling players to plant explosives at designated sites."
"What is defuse mechanic?","Mechanic allowing players to disarm bombs."
"What is capture point?","Area players must control to earn points."
"What is domination mode?","Game mode where teams capture and hold multiple points."
"What is team deathmatch?","Mode where teams compete to get the highest kill count."
"What is free-for-all?","Everyone competes individually without teams."
"What is battle royale?","Large-scale mode where last surviving player wins."
"What is shrinking zone?","Area that shrinks over time forcing players together."
"What is loot ping system?","Players mark items or locations for teammates."
"What is revivable state?","State where a downed player can still be revived."
"What is killstreak?","Rewards or advantages for achieving consecutive kills."
"What is respawn beacon?","Station allowing teammates to revive dead players."
"What is armor plate system?","Players equip armor plates to increase defense."
"What is helmet protection?","Reduces headshot damage."
"What is directional audio?","3D audio allowing players to locate enemies by sound."
"What is footstep detection?","Sound system revealing player movement to enemies."
"What is surface-based audio?","Different sounds depending on walking surface."
"What is suppressed weapon?","Weapon with reduced firing noise using a suppressor."
"What is recoil pattern?","Repeating sequence of recoil movements."
"What is bullet drop?","Gravity affecting projectile trajectory."
"What is wind influence?","Wind affecting long-range projectiles."
"What is hit scan vs projectile?","Hitscan is instant; projectile has travel time."
"What is armor break?","Armor breaks after receiving certain amount of damage."
"What is shield regen?","Shield regenerates after not taking damage."
"What is healing item?","Item restoring health or shields."
"What is throwable explosive?","Grenades, mines, or other thrown explosive items."
"What is sticky grenade?","Grenade that attaches to surfaces or enemies."
"What is flashbang effect?","Bright flash and noise disorienting players."
"What is smoke grenade?","Creates smoke blocking visibility."
"What is frag grenade?","Creates explosion causing lethal damage."
"What is molotov effect?","Spreads fire causing area damage over time."
"What is proximity mine?","Explodes when players enter its radius."
"What is claymore mine?","Directional explosive triggered by tripwires."
"What is trap placement system?","System allowing players to place tactical traps."
"What is spectator camera?","Camera system for watching after death."
"What is third-person camera?","Camera behind and above character."
"What is first-person camera?","Camera showing view from character's eyes."
"What is shoulder swap?","Switching camera angle over left or right shoulder."
"What is weapon sway?","Subtle movement of weapon camera for realism."
"What is idle animation?","Animation played when player stands still."
"What is reload animation?","Animation of reloading weapon."
